raw_value,nlu_skill,nlu_task,nlu_result_is_valid,nlu_result_tts_task_type,nlu_result_tts_text
养殖业,baike,baike,True,baike,养殖业是利用畜禽等已经被人类驯化的动物，或者鹿、麝、狐、貂、水獭、鹌鹑等野生动物的生理机能，通过人工饲养、繁殖，使其将牧草和饲料等植物能转变为动物能，以取得肉、蛋、奶、羊毛、山羊绒、皮张、蚕丝和药材等畜产品的生产部门。
时光飞逝,zh_dic,no_task,False,no_task,抱歉，小猴没听清。
掐子,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到掐子这个词，我先把它记下来
成长股,baike,baike,False,baike,抱歉，小猴答不上来
台命,baike,baike,True,baike,台命: 《玉娇梨》第九回：“老先生台命焉敢有违。
迷失方向,zh_dic,no_task,False,no_task,抱歉，小猴没听懂。
万金之躯,zh_dic,no_task,False,no_task,抱歉，小猴没听懂。
锄暴安良,zh_dic,zh_dic_idiom_lookup.meaning_lookup,False,zh_dic_idiom_lookup.meaning_lookup,小猴没找到锄暴安良这个成语，我先把它记下来
赌石,baike,baike,True,baike,赌石[珠宝业术语]: 赌石是珠宝业术语，指翡翠在开采出来时，有一层风化皮包裹着，无法知道其内的好坏，须切割后才能知道翡翠的质量。
问题少年,,poem_title_lookup.content_lookup,True,poem_title_lookup.content_lookup,问少年 ，唐代， 白居易 ，千首诗堆青玉案，十分酒写白金盂。回头却问诸年少，作箇狂夫得了无。
谈婚论嫁,zh_dic,no_task,False,no_task,抱歉，小猴没听清。
癌魔,baike,baike,False,baike,抱歉，小猴答不上来
翻唱,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到翻唱这个词，我先把它记下来
闹市区,baike,baike,True,baike,闹市区: 中文名称： 闹市区 英文名称： downtown 定义： 泛指城镇中心的商业活动区。
疯抢,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到疯抢这个词，我先把它记下来
补钙,baike,baike,False,baike,抱歉，小猴答不上来
告结,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到告结这个词，我先把它记下来
酒过三巡,baike,baike,True,baike,酒过三巡是一个汉语词汇，拼音：jiǔ guò sān xún。释义：三并不是指具体的三杯或者三轮。而是指时间长数量多的意思。酒过三巡是指酒已经喝了有一段时间，喝了不少酒了。
方寸大乱,zh_dic,no_task,False,no_task,抱歉，小猴没听清。
捅咕,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到捅咕这个词，我先把它记下来
空仓,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到空仓这个词，我先把它记下来
领跑,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到领跑这个词，我先把它记下来
溶漾,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到溶漾这个词，我先把它记下来
高考状元,baike,baike,True,baike,高考状元: “高考状元” 一般指中国大陆地区“全国普通高等学校招生全国统一考试”各省市、自治区和直辖市的高考成绩第一名。
丑名,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到丑名这个词，我先把它记下来
电猫,baike,baike,True,baike,电猫: 早期的电猫不仅可以电死老鼠，也会电死猫等小动物，所以后来人们都不怎么用了。注意: 利用时请插在离地面较高的位置。
盆满钵满,zh_dic,no_task,False,no_task,抱歉，小猴没听清。
电子宠物,baike,baike,True,baike,电子宠物是由电子元件（硬件和软件）构成的电子玩具，现在也指使用电脑或因特网服务器上运行的特定程序。电子宠物具有和真实宠物同样的生命特性。由于具有喂养简单，便携等特性，受到人们的欢迎。 同时电子宠物只能从片面的模仿宠物的部分特征，因此无法取代真实宠物。
半蹲,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到半蹲这个词，我先把它记下来
概念车,baike,baike,True,baike,概念车（Concept Car）可以理解为未来汽车，一种介于设想和现实之间的汽车。汽车设计师利用概念车向人们展示新颖、独特、超前的构思，反映人类对先进汽车的梦想与追求。这种车往往只是处在创意、试验阶段，也许不会投产，主要用于车辆的开发研究和开发试验，可以为探索汽车的造型、采用新的结构、验证新的原理等提供样机。
粉红领,chat,chat.small_talk,False,chat.small_talk,我们先不要聊天啦，好好学习吧！
佯死,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到佯死这个词，我先把它记下来
身材魁梧,zh_dic,no_task,False,no_task,抱歉，小猴没听懂。
噻吩,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到噻吩这个词，我先把它记下来
脐环,baike,baike,True,baike,脐环:脐环: 肚脐周围的表皮打洞穿孔佩戴饰品。 脐环是在肚脐上周围的表皮打洞穿孔（一般在上侧）所佩戴的饰品，是体环的一种。
坤枢,baike,baike,True,baike,坤枢: 坤枢，是一个汉语词汇，拼音kūnshū，释义为地轴，借指地壳。
百工,zh_dic,zh_dic_word_lookup.meaning_lookup,True,zh_dic_word_lookup.meaning_lookup,找到多个bǎigōng，你想查哪一个呢?
拨火棍,zh_dic,zh_dic_word_lookup.meaning_lookup,True,zh_dic_word_lookup.meaning_lookup,拨火棍的意思是拨弄炉火的短棒。
迪士尼乐园,baike,baike,True,baike,迪士尼乐园[迪士尼游乐园]: 迪士尼乐园于1955年7月开园，立刻成为世界上最具知名度和人气的主题公园。包含: 三家主题酒店和一个迪士尼小镇。
中拇指,zh_dic,zh_dic_word_lookup.meaning_lookup,True,zh_dic_word_lookup.meaning_lookup,中拇指的意思是中指。
限行,zh_dic,zh_dic_word_lookup.meaning_lookup,True,zh_dic_word_lookup.meaning_lookup,找到多个xiànxíng，你想查哪一个呢?
毫厘不差,zh_dic,zh_dic_idiom_lookup.meaning_lookup,True,zh_dic_idiom_lookup.meaning_lookup,毫厘不差的意思是指丝毫不差。形容非常准确。
穷竭,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到穷竭的意思，我先把它记下来
漂洋过海,zh_dic,zh_dic_idiom_lookup.meaning_lookup,False,zh_dic_idiom_lookup.meaning_lookup,小猴没找到漂洋过海这个成语，我先把它记下来
小溪,,poem_title_lookup.content_lookup,True,poem_title_lookup.content_lookup,小溪 ，宋代， 李介山 ，东风满眼柳花飞，信步扶藜过小溪。淮甸凄凉春事少，楚天空阔暮云低。江山有意怜孤客，桃李无心恋故蹊。纵使有家归未得，数声蜀魄为谁啼。
疤瘌,baike,baike,True,baike,疤瘌: 疤瘌，伤口或疮平复以后留下的痕迹。释义: 伤口或疮平复以后留下的痕迹。
彼苍,baike,baike,True,baike,彼苍: 彼苍（bǐ cāng），是一个汉语词汇，是天的代称。
宇量,baike,baike,True,baike,宇量: 宇量，是汉语词汇，拼音：yǔ liàng，释义是气度；度量。
弟妇,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到弟妇的意思，我先把它记下来
腾起,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到腾起的意思，我先把它记下来
指点迷津,zh_dic,zh_dic_idiom_lookup.meaning_lookup,False,zh_dic_idiom_lookup.meaning_lookup,小猴没找到指点迷津这个成语，我先把它记下来
合成词,knowledge,no_task,False,no_task,抱歉，小猴没理解。
堆叠,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到堆叠的意思，我先把它记下来
赌棍,baike,baike,True,baike,赌棍: 赌棍就是指嗜赌成性，一贯赌博，以赌博所得为其生活来源的人。
立交,,poem_title_lookup.content_lookup,True,poem_title_lookup.content_lookup,利交 ，宋代， 仇远 ，一自仪秦去，从衡直到今。士缘贫失节，交以利知心。乍可昏求火，何堪昼见金。狂澜回已倒，犹幸有山林。
微服私访,zh_dic,zh_dic_idiom_lookup.meaning_lookup,False,zh_dic_idiom_lookup.meaning_lookup,小猴没找到微服私访这个成语，我先把它记下来
卷铺盖,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到卷铺盖这个词，我先把它记下来
谯楼,,poem_title_lookup.content_lookup,True,poem_title_lookup.content_lookup,谯楼 ，宋代， 赵崇嶓 ，霜满谯楼报五更，道人睡稳几曾听。金街应有朝天客，珮马禁寒望晓星。
碗柜,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到碗柜的意思，我先把它记下来
装腔做势,,poem_sentence_lookup.content_lookup,True,poem_sentence_lookup.content_lookup,"这是戏题时贤画达摩像六段中的诗句
戏题时贤画达摩像六段 ，当代， 启功 ，片苇东航，只履西归，教外之传。要本心直指，不凭文字，一衣一钵，面壁多年。敬问嘉宾，有何贵干，枯坐居然叫作禅。谁知道，竟一花五叶，法统蝉联。断肢二祖心虔。又行者逃生命缕悬。忆菩提非树，那椿公案，触而且背，早落言诠。临济开宗，逢人便打，寂静如何变野蛮。空留下，漫装腔作势，各相俱全。"
洗手间,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到洗手间的意思，我先把它记下来
省墓,,poem_title_lookup.content_lookup,True,poem_title_lookup.content_lookup,省墓 ，宋代， 叶茵 ，陇上松杉手自移，至今苔藓半寒枝。梦中不记重泉隔，犹学儿童戏䌽时。
寝食难安,zh_dic,zh_dic_idiom_lookup.meaning_lookup,False,zh_dic_idiom_lookup.meaning_lookup,小猴没找到寝食难安这个成语，我先把它记下来
乌鸟之情,baike,baike,True,baike,乌鸟之情: 乌鸟之情，汉语词汇，出自三国·魏·杜挚《降吴表》，解释为奉养长辈的孝心。用法: 作賓語、定語。
绝后,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到绝后的意思，我先把它记下来
三伏,baike,baike,True,baike,三伏，是初伏、中伏和末伏的统称，是一年中最热的时段。“伏”表示阴气受阳气所迫藏伏地下。每年三伏天出现在公历7月中旬到8月中旬，其气候特点是气温高、气压低、湿度大、风速小。所谓“热在三伏”，三伏有初伏、中伏和末伏之分，它的日期是由节气日期和干支纪日日期相配合来决定的。 我国传统的推算方法规定，夏至后的第三个庚日为初伏之始，第四个庚日为中伏之始，立秋后第一个庚日为末伏之始。因为每个庚日之间相隔10天，所以初伏、末伏规定的时间是10天。中伏的天数则有长有短，可能是10天，也可能是20天，这取决于每年夏至节气后第3个庚日（初伏）出现日期的迟早。
国医,baike,baike,True,baike,国医节是为了纪念反对取消旧医药及全盘否定中医中药的胜利，并希望中医中药能在中国乃至全世界弘扬光大，造福人类而设定的节日（每年的3月17日）。 3月17日是中国国医节。这一节日的来历与叶开泰药号组织领导的一场抵制废止中医药运动有关。当年汪精卫政府要反对中医，废除中药。一个在日本留过学的西医余岩（字云岫）借势发难，1929年2月，国民政府卫生部召开第一届中央卫生委员会上，围绕着“废止中医”问题，提出：取消旧医药（那时中医中药被称为旧医药），全盘否定中医中药。这就是臭名昭著的“废止中医案”。 为了纪念这次抗争的胜利，并希望中医中药能在中国乃至全世界弘扬光大，造福人类，医学界人士将每年的3月17日定为“国医节”。
蠢才,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到蠢才这个词，我先把它记下来
雄大,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到雄大的意思，我先把它记下来
抵账,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到抵账的意思，我先把它记下来
皇子,baike,baike,False,baike,抱歉，小猴答不上来
书牍,baike,baike,True,baike,书牍:释义: 简牍书信之类的总称。 书牍，汉语词汇。
钝器,baike,baike,True,baike,没有尖或刃的器物，如棍棒、锤子等，多指用于行凶的。
正面人物,baike,baike,False,baike,抱歉，小猴答不上来
大烟,,poem_title_lookup.content_lookup,True,poem_title_lookup.content_lookup,大言 ，唐代， 雍裕之 ，四溟杯渌醑，五岳髻青螺。挥汗曾成雨，画地亦成河。
三豕渡河,baike,baike,False,baike,抱歉，小猴答不上来
柜橱,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到柜橱的意思，我先把它记下来
木屋,baike,baike,True,baike,木屋: 木屋指的是用木头做成的屋子。类别: 轻型木结构和重型木结构。
妄作胡为,zh_dic,zh_dic_idiom_lookup.meaning_lookup,False,zh_dic_idiom_lookup.meaning_lookup,小猴没找到妄作胡为这个成语，我先把它记下来
驴肝肺,baike,baike,False,baike,抱歉，小猴答不上来
四世同堂,zh_dic,no_task,False,no_task,抱歉，小猴没理解。
发红,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到发红的意思，我先把它记下来
以正视听,zh_dic,no_task,False,no_task,抱歉，小猴没听懂。
赐与,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到赐与的意思，我先把它记下来
后羿射日,baike,baike,True,baike,传说“后羿”是“嫦娥”的丈夫。后羿在的时候，天上有十个太阳，烧得草木，庄稼枯焦，后羿为了救百姓，一连射下九个太阳，从此地上气候适宜，万物得以生长。
百毒不侵,zh_dic,zh_dic_idiom_lookup.meaning_lookup,False,zh_dic_idiom_lookup.meaning_lookup,小猴没找到百毒不侵这个成语，我先把它记下来
放洋,,poem_title_lookup.content_lookup,True,poem_title_lookup.content_lookup,放洋 ，清代， 熊学鹏 ，趁晓乘潮海舶寒，清风相送出台端。片帆飘渺烟中过，一碧澄泓浪里看。举目惟瞻天日近，回头但觉水云宽。要知舟楫由来好，不畏重洋济涉难。
释然,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到释然的意思，我先把它记下来
一家之说,zh_dic,zh_dic_idiom_lookup.meaning_lookup,False,zh_dic_idiom_lookup.meaning_lookup,小猴没找到一家之说这个成语，我先把它记下来
屋上架屋,zh_dic,zh_dic_idiom_lookup.meaning_lookup,False,zh_dic_idiom_lookup.meaning_lookup,小猴没找到屋上架屋这个成语，我先把它记下来
孽缘,baike,baike,False,baike,抱歉，小猴答不上来
挨饿受冻,zh_dic,zh_dic_idiom_lookup.meaning_lookup,False,zh_dic_idiom_lookup.meaning_lookup,小猴没找到挨饿受冻这个成语，我先把它记下来
界外,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到界外的意思，我先把它记下来
好走,chat,chat.small_talk,False,chat.small_talk,我们先不要聊天啦，好好学习吧！
万箭钻心,zh_dic,zh_dic_idiom_lookup.meaning_lookup,False,zh_dic_idiom_lookup.meaning_lookup,小猴没找到万箭钻心这个成语，我先把它记下来
端绪,baike,baike,True,baike,端绪: 端绪，是一个汉语词语，拼音为duān xù，指头绪；端倪；些微的认识或模糊的想法。注音: ㄉㄨㄢ ㄒㄩˋ。
缝子,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到缝子的意思，我先把它记下来
春情,,poem_title_lookup.content_lookup,True,poem_title_lookup.content_lookup,春晴 ，明代， 王守仁 ，林下春晴风渐和，高崖残雪已无多。游丝冉冉花枝静，青壁迢迢白鸟过。忽向山中怀旧侣，几从洞口梦烟萝。客衣尘土终须换，好与湖边长芰荷。
官宦,baike,baike,True,baike,官宦: 官宦是一个汉语词汇，拼音是：guān huàn释义：1、指大理寺专门采集证据的官员。释义: 泛指官员。
宠嬖,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到宠嬖的意思，我先把它记下来
大前天,chat,chat.small_talk,False,chat.small_talk,我们先不要聊天啦，好好学习吧！
气象一新,zh_dic,no_task,False,no_task,抱歉，小猴没理解。
借读,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到借读的意思，我先把它记下来
猛火,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到猛火的意思，我先把它记下来
恩威并济,zh_dic,zh_dic_idiom_lookup.meaning_lookup,False,zh_dic_idiom_lookup.meaning_lookup,小猴没找到恩威并济这个成语，我先把它记下来
障子,,poem_title_lookup.content_lookup,True,poem_title_lookup.content_lookup,帐子 ，宋代， 释慧开 ，才得当阳一线通，全彰大用显家风。直饶鼻孔辽天汉，未免从头被罩笼。
凤梨,baike,baike,True,baike,凤梨（学名：Ananas comosus  （Linn.） Merr.），茎短。叶多数，莲座式排列，剑形，顶端渐尖，全缘或有锐齿，腹面绿色，背面粉绿色，边缘和顶端常带褐红色，生于花序顶部的叶变小，常呈红色。花序于叶丛中抽出，状如松球；苞片基部绿色，上半部淡红色，三角状卵形；萼片宽卵形，肉质，顶端带红色；花瓣长椭圆形，端尖，上部紫红色，下部白色。聚花果肉质。花期夏季至冬季。 中国福建、广东、海南、广西、云南、台湾有栽培。原产美洲热带地区。俗称菠萝，为著名热带水果之一。
神宇,baike,baike,False,baike,抱歉，小猴答不上来
南欧,baike,baike,True,baike,南欧是欧洲南部的简称，范围包括伊比利亚半岛、亚平宁半岛及巴尔干半岛南部，包括西班牙、葡萄牙、安道尔、意大利、希腊、马耳他、梵蒂冈、圣马力诺、斯洛文尼亚、克罗地亚、阿尔巴尼亚、罗马尼亚、保加利亚、塞尔维亚、黑山、马其顿和波斯尼亚和黑塞哥维那共17个国家，也称为地中海欧洲，因为大多南欧国家靠近地中海。面积约为166万多平方公里。南欧隔着地中海与亚、非两洲相望，自古以来与西亚及北非往来密切，同是重要的古文明起源地；对西方世界而言，南欧更孕育了古希腊、古罗马文化，确立了早期的基督教社会，为西方的思想及知识体系奠定了基础。
律令,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到律令的意思，我先把它记下来
村学,,poem_title_lookup.content_lookup,True,poem_title_lookup.content_lookup,村学 ，宋代， 丘葵 ，矛头淅米末途难，活计僧梳刖屦间。老去欢悰如泼水，向来愚见欲移山。身穿犊鼻朝朝冷，眼见蝇头字字艰。扶病来为村学究，始知穷乏累清闲。
密不透风,zh_dic,zh_dic_idiom_lookup.meaning_lookup,False,zh_dic_idiom_lookup.meaning_lookup,小猴没找到密不透风这个成语，我先把它记下来
拗口令,knowledge,no_task,False,no_task,抱歉，小猴没理解。
整齐划一,zh_dic,zh_dic_idiom_lookup.meaning_lookup,False,zh_dic_idiom_lookup.meaning_lookup,小猴没找到整齐划一这个成语，我先把它记下来
芳龄,baike,baike,True,baike,芳龄: 女子的年龄。注音: ㄈㄤ ㄌㄧㄥˊ。
不菲,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到不菲的意思，我先把它记下来
