raw_value, nul_skill,nlu_task,nlu_result_is_valid, nlu_result_tts_task_type,nlu_result_tts_text
水浒传主人公是谁,baike,baike,False,baike,抱歉，小猴答不上来
小小公主的歌,functional,no_task,False,no_task,抱歉，小猴没理解。
水仙球,baike,baike,False,baike,抱歉，小猴答不上来
蛇妖,baike,baike,False,baike,抱歉，小猴答不上来
VIVOX六十系列,baike,baike,True,baike,六十: 《六十》是宋代诗人蔡戡的作品之一。
刘德华,baike,baike,False,baike,抱歉，小猴答不上来
林语堂的作品,baike,baike,True,baike,林语堂:代表作品: 《京华烟云》《吾国与吾民》《生活的艺术》《老子的智慧》。 林语堂（1895年10月10日-1976年3月26日），福建龙溪（今漳州）人，原名和乐，后改玉堂，又改语堂，中国现代著名作家、学者、翻译家、语言学家，新道家代表人物。
周杰伦的歌曲,baike,baike,False,baike,抱歉，小猴答不上来
梵高的代表作,baike,baike,False,baike,抱歉，小猴答不上来
巴金的代表作,baike,baike,True,baike,《家》《寒夜》《随想录》
搞笑的动作,chat,chat.small_talk,False,chat.small_talk,我们先不要聊天啦，好好学习吧！
唐代衣,baike,baike,False,baike,抱歉，小猴答不上来
水立方的面积,knowledge,no_task,False,no_task,抱歉，小猴没听懂。
